timestamp,eci,pci,earfcn,tac,mcc,mnc,rsrp,rsrq,rssnr,cqi,latitude,longitude,altitude,gps_accuracy,speed,bearing,distance_from_bs
1788411326457,4099850241,6,504990,2097215,460,0,-68,-11,19,-1,39.89318594,116.3439725,42.6298828125,3.7900925,1.11,12.8,
1788411324447,4099850241,6,504990,2097215,460,0,-68,-11,19,-1,39.89316733,116.34396649,42.557373046875,3.7900925,1.15,14.9,
1788411322338,4099850241,6,504990,2097215,460,0,-68,-11,19,-1,39.8931475,116.34396022,42.6484375,3.7900925,1.18,25.4,
1788411320108,4099850241,6,504990,2097215,460,0,-68,-11,19,-1,39.89312782,116.34395062,42.6243896484375,3.7900925,1.18,27.7,
1788411318998,4099850241,6,504990,2097215,460,0,-68,-11,19,-1,39.8931175,116.34394315,42.73284912109375,3.7900925,1.26,31.5,
1788411318096,4099850241,6,504990,2097215,460,0,-75,-11,18,-1,39.89310747,116.34393355,42.8631591796875,3.7900925,1.21,39.3,
1788411315878,4099850241,6,504990,2097215,460,0,-75,-11,18,-1,39.89308624,116.34390278,42.72979736328125,3.7900925,1.18,58.0,
1788411313073,4099850241,6,504990,2097215,460,0,-75,-11,18,-1,39.89307621,116.34388153,42.3770751953125,3.7900925,1.11,67.1,
1788411310923,4099850241,6,504990,2097215,460,0,-75,-11,18,-1,39.89307117,116.34385777,41.97021484375,3.7900925,1.2,74.0,
1788411309007,4099850241,6,504990,2097215,460,0,-75,-11,18,-1,39.8930654,116.3438324,40.90582275390625,3.7900925,1.49,62.7,
1788411308916,4099850241,6,504990,2097215,460,0,-83,-11,8,-1,39.89305913,116.34381625,41.2890625,3.7900925,0.88,49.1,
1788411306828,4099850241,6,504990,2097215,460,0,-83,-11,8,-1,39.89305441,116.34380832,41.33441162109375,3.7900925,0.66,45.4,
1788411303946,4099850241,6,504990,2097215,460,0,-83,-11,8,-1,39.89305055,116.34380225,41.40447998046875,3.7900925,1.31,62.7,
1788411299958,4099850241,6,504990,2097215,460,0,-83,-11,8,-1,39.89305055,116.34380225,41.40447998046875,3.7900925,1.31,62.7,
1788411299001,4099850241,6,504990,2097215,460,0,-83,-11,8,-1,39.89305055,116.34380225,41.40447998046875,3.7900925,1.31,62.7,
1788411296952,4099850241,6,504990,2097215,460,0,-77,-11,18,-1,39.8930357,116.34378623,43.0340576171875,3.7900925,0.75,32.8,
1788411294368,4099850241,6,504990,2097215,460,0,-77,-11,18,-1,39.8930197,116.34377347,43.06658935546875,3.7900925,1.22,4.2,
1788411292252,4099850241,6,504990,2097215,460,0,-77,-11,18,-1,39.89299692,116.34377337,43.37945556640625,3.7900925,1.18,2.6,
